date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,turnover
2025-11-14,300750,400.09,397.21,407.69,396.97,241721,9879119548.0,2.62,-2.81,-11.48,0.57
2025-11-17,300750,381.09,383.87,385.49,375.59,476855,18542294255.0,2.49,-3.36,-13.34,1.12
2025-11-18,300750,382.09,378.09,391.72,374.09,395658,15353867656.0,4.59,-1.51,-5.78,0.93
2025-11-19,300750,378.59,384.19,391.53,378.05,292667,11462348543.0,3.57,1.61,6.1,0.69
2025-11-20,300750,387.99,372.48,388.09,370.1,336743,12895238922.0,4.68,-3.05,-11.71,0.79
2025-11-21,300750,368.09,363.09,376.09,363.09,316313,11850710342.0,3.49,-2.52,-9.39,0.74
2025-11-24,300750,366.89,363.64,367.99,360.27,228458,8464724008.0,2.13,0.15,0.55,0.54
2025-11-25,300750,368.09,365.45,372.75,363.68,206332,7733117131.0,2.49,0.5,1.81,0.48
2025-11-26,300750,368.59,365.91,368.59,363.16,189107,7048903988.0,1.49,0.13,0.46,0.44
2025-11-27,300750,366.09,364.29,371.97,363.09,222003,8289124681.0,2.43,-0.44,-1.62,0.52
2025-11-28,300750,363.59,366.29,368.57,359.25,203403,7542337298.0,2.56,0.55,2.0,0.48
2025-12-01,300750,367.85,376.06,376.06,367.12,267510,10120862870.0,2.44,2.67,9.77,0.63
2025-12-02,300750,376.59,373.17,378.07,370.49,163485,6220569501.0,2.02,-0.77,-2.89,0.38
2025-12-03,300750,373.18,369.17,376.46,368.09,139911,5294871742.0,2.24,-1.07,-4.0,0.33
2025-12-04,300750,372.28,376.44,376.69,368.24,191658,7299943081.0,2.29,1.97,7.27,0.45
2025-12-05,300750,380.29,382.18,382.4,375.09,232916,9004580815.0,1.94,1.52,5.74,0.55
2025-12-08,300750,383.52,385.59,388.47,378.59,216598,8476698700.0,2.59,0.89,3.41,0.51
2025-12-09,300750,384.59,380.68,385.35,379.09,186918,7255076087.0,1.62,-1.27,-4.91,0.44
2025-12-10,300750,378.14,375.47,381.09,370.35,194334,7399361240.0,2.82,-1.37,-5.21,0.46
2025-12-11,300750,377.99,382.08,391.95,376.47,282154,11089031994.0,4.12,1.76,6.61,0.66
